administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Donald Trump (First Term),New York v. Wheeler,2020-08-17,Environment,Methylene Chloride Risk Evaluation,U.S. Environmental Protection Agency,adverse_tro_or_injunction,No Injunction Issued (Not Requested or No Judicial Action),"Success, Agency Reversed Policy","Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,20-73276,N/A | links: https://attorneysgeneral.org/wp-content/uploads/2020/08/2020.08.17-New-York-v.-Wheeler-Petition-for-Review-2nd-Cir..pdf,"The court granted EPA's request for voluntary remand for the limited purpose of permitting the agency to reconsider the challenged no-unreasonable-risk determinations. The EPA revised its standards, finding that methylene chloride, as a whole chemical substance, presents an unreasonable risk of injury to health under the conditions of use. The case was subsequently voluntarily dismissed by all parties.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Washington v. Trump,2020-08-18,Voting and Elections,Postal Service Operational Changes,President; U.S. Postal Service,adverse_tro_or_injunction,,"Success, Injunction Only","Case Closed, Agency Reversed Decision",Funding / grant or program cuts,Possible presidential-directive/OMB-related,1:20-cv-03127,links: https://attorneysgeneral.org/wp-content/uploads/2020/08/2020.08.18-Washington-v.-Trump-Complaint-E.D.Wash_..pdf,"The court granted the plaintiffs' motion for preliminary injunction, blocking the postal changes nationwide. The defendants appealed to the Ninth Circuit ( 20-36047), but voluntarily dismissed the appeal following the change in administrations. The plaintiffs subsequently voluntarily dismissed the District Court case, and the case was closed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Pennsylvania v. DeJoy,2020-08-21,Voting and Elections,Postal Service Operational Changes,U.S. Postal Service,adverse_tro_or_injunction,,"Success, Injunction Only","Case Closed, Settled",Funding / grant or program cuts,No obvious EO link in AG metadata,2:20-cv-04096,(2020.09.28) Pennsylvania v. DeJoy - Memorandum Granting Injunction [E.D.Pa.] | links: https://attorneysgeneral.org/wp-content/uploads/2020/08/2020.08.21-Pennsylvania-v.-DeJoy-Complaint-E.D.Pa_..pdf; https://attorneysgeneral.org/wp-content/uploads/2021/05/2020.09.28-Pennsylvania-v.-DeJoy-Memorandum-Granting-Injunction-E.D.Pa_..pdf,"On 9/28/20, the district court issued a preliminary injunction in part, blocking the postal changes nationwide. The Trump Administration appealed, but the Biden Administration voluntarily dismissed the appeal. In May 2022, the parties reached a settlement in which the USPS agreed to make changes and continuously provide status reports to the AGs.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Trump,2020-08-25,Voting and Elections,Postal Service Operational Changes,"President, U.S. Postal Service",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,Possible presidential-directive/OMB-related,20-05352,(2020.09.27) New York v. Trump - Order Granting Preliminary Injunction [D.D.C.] | links: https://attorneysgeneral.org/wp-content/uploads/2020/09/2020.08.25-New-York-v.-Trump-Complaint-D.D.C..pdf; https://attorneysgeneral.org/wp-content/uploads/2020/10/2020.09.27-New-York-v.-Trump-Order-Granting-Preliminary-Injunction-D.D.C..pdf,"On 9/27/20, the court issued a preliminary injunction, blocking the postal changes nationwide. The federal defendants filed an appeal, but voluntarily dismissed the appeal following the change in presidential administrations. The case remained open, and on 9/30/22, the court granted partial summary judgment for both the states and the federal government. The federal defendants appealed to the DC Circuit on 5/4/23, where the case remains in late 2024.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Minnesota v. Wheeler,2020-09-28,Environment,Mercury Emissions,U.S. Environmental Protection Agency,adverse_tro_or_injunction,No Injunction Issued (Not Requested),Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,20-01392,links: https://attorneysgeneral.org/wp-content/uploads/2020/10/2020.09.28-Minnesota-v.-Wheeler-Petition-for-Review-D.C.-Cir..pdf,The court is holding the case in abeyance pending further agency action.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. EPA,2020-12-16,Environment,Regulation of Pesticides,U.S. Environmental Protection Agency,adverse_tro_or_injunction,National Injunction Issued,Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Environment / energy regulation,No obvious EO link in AG metadata,1:20-cv-10642,links: https://attorneysgeneral.org/wp-content/uploads/2020/12/2020.12.16-New-York-v.-EPA-Complaint-S.D.N.Y..pdf,"The court has restrained the EPA from finalizing the rule and stayed this case. Following the change in administrations, the parties agreed to extend the effective date of the challenged rule again. The case is currently stayed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),Washington v. Vought,2021-01-04,Other,National Archives Building Sale,Office of Management and Budget (EoP),adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Agency Reversed Decision",Funding / grant or program cuts,Possible presidential-directive/OMB-related,2:21-cv-00002,links: https://attorneysgeneral.org/wp-content/uploads/2021/01/2021.01.04-Washington-v.-Vought-Complaint-W.D.-Wash..pdf,The court granted the plaintiff's motion for preliminary injunction blocking the sale on 2/16/21. The Biden Administration reversed the challenged Trump-era decision in April 2021 and the case was subsequently voluntarily dismissed.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. EPA,2021-01-13,Environment,NAAQS Standards for Ozone,U.S. Environmental Protection Agency,adverse_tro_or_injunction,,Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,21-01014,links: https://attorneysgeneral.org/wp-content/uploads/2021/01/2021.01.13-California-v.-EPA-Petition-D.C.-Cir..pdf,"Following the change in administrations, the court on 2/17/21 granted the defendant's motion to hold the case in abeyance. The case remains in abeyance pending further regulatory action.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. EPA,2021-01-15,Environment,Airplane Emissions,U.S. Environmental Protection Agency,adverse_tro_or_injunction; state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Merits Decision","Case Active, Original Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,21-01018,links: https://attorneysgeneral.org/wp-content/uploads/2021/01/2021.01.15-California-v.-EPA-Petition-D.C.-Cir..pdf,"In June 2023, the court held that the EPA acted lawfully and denied the plaintiff states' petition. The appeal period remains open.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),California v. EPA,2021-01-19,Environment,Pollution Controls on Major Sources,U.S. Environmental Protection Agency,adverse_tro_or_injunction,No Injunction Issued (Not Requested),Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,21-01034,links: https://attorneysgeneral.org/wp-content/uploads/2021/01/2021.01.19-California-v.-EPA-Petition-D.C.-Cir..pdf,The case has been held in abeyance pending further rulemaking.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. U.S. Department of the Interior,2021-01-19,Environment,Migratory Birds,U.S. Department of the Interior,adverse_tro_or_injunction,,"Success, Agency Reversed Policy","Case Closed, Agency Reversed Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,1:21-cv-00448,links: https://attorneysgeneral.org/wp-content/uploads/2021/01/2021.01.19-New-York-v.-U.S.-Department-of-the-Interior-Complaint-S.D.N.Y..pdf,"Following the Biden Administration's reversal of the challenged Trump-era policy on 9/29/21, the case was voluntarily dismissed by all parties.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. EPA,2021-03-01,Environment,Lead and Copper Rule Revisions,U.S. Environmental Protection Agency,adverse_tro_or_injunction,No Injunction Issued (Not Requested),Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,21-01076,links: https://attorneysgeneral.org/wp-content/uploads/2021/03/2021.03.01-New-York-v.-EPA-Petition-for-Review-D.C.-Cir..pdf,"The case was held in abeyance given the change in presidential administrations until April 2022, and then placed back in abeyance in February 2023.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. Department of Energy,2021-03-16,Energy,Energy Efficiency Standards for Appliances,U.S. Department of Energy,adverse_tro_or_injunction,No Injunction Issued (Not Requested),Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,21-00602,links: https://attorneysgeneral.org/wp-content/uploads/2021/03/2021.03.16-New-York-v.-Department-of-Energy-Petition-for-Review-2nd-Cir..pdf,The case remains held in abeyance pending further rulemaking and litigation in other courts.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (First Term),New York v. EPA,2021-03-22,Environment,Toxic Chemical Risk Evaluation,U.S. Environmental Protection Agency,adverse_tro_or_injunction,No Injunction Issued (Not Requested or No Judicial Action),Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,21-70684,links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.03.22-New-York-v.-EPA-Petition-9th-Cir..pdf,"The court granted the federal defendants' motion to remand "" for the limited purpose of permitting the agency to reconsider the challenged no-unreasonable-risk determinations."" The court has been holding the case in abeyance pending that reconsideration, with the agency filing periodic status reports.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),New Jersey v. Trump,2025-01-21,Immigration,Birthright Citizenship Executive Order,"President, U.S. Department of Homeland Security, U.S. Department of State, U.S. Department of Health and Human Services, U.S. Department of Justice, U.S. Department of Agriculture, U.S. Social Security Administration",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Awaiting Decision After Argument",Immigration / presidential directive,Likely EO/directive-related,25-01170 24A886,links: https://attorneysgeneral.org/wp-content/uploads/2025/01/2025.01.22-New-Jersey-v.-Trump-D.-Mass.-Complaint.pdf,"The court granted a nationwide preliminary injunction to the plaintiff states in February 2025. The federal defendants have appealed to the First Circuit and SCOTUS, the latter of which is holding oral argument in May 2025.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),Washington v. Trump,2025-01-21,Immigration,Birthright Citizenship Executive Order,"President, U.S. Department of Homeland Security, U.S. Social Security Administration, U.S. Department of State, U.S. Department of Health and Human Services, U.S. Department of Justice, U.S. Department of Agriculture",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Interlocutory Appeal",Immigration / presidential directive,Likely EO/directive-related,25-00674,links: https://attorneysgeneral.org/wp-content/uploads/2025/01/2025.01.22-Washington-v.-Trump-W.D.Wash_.-Complaint.pdf,"In January 2025, the district court issued a temporary restraining order blocking the policy nationwide, followed by a nationwide preliminary injunction in February 2025. The federal defendants have appealed to the 9th Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),New York v. Trump,2025-01-28,Other,Federal Grant Freeze,"President, Office of Management and Budget (EoP), U.S. Department of the Treasury, U.S. Department of Health and Human Services, U.S. Department of Education, Federal Emergency Management Agency (DHS), U.S. Department of Transportation, U.S. Department of Labor, U.S. Department of Energy, U.S. Environmental Protection Agency, U.S. Department of Homeland Security, U.S. Department of Justice, National Science Foundation",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,Possible presidential-directive/OMB-related,25-1236 25-1138 25-1413,(2025.03.06) New York v. Trump [D.R.I.] - Order Granting Preliminary Injunction | links: https://attorneysgeneral.org/wp-content/uploads/2025/02/2025.01.28-MULTISTATE-New-York-v.-Trump-D.R.I.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2025/03/2025.03.06-New-York-v.-Trump-D.R.I.-Order-Granting-Preliminary-Injunction.pdf,"The court issued a TRO blocking the pause in January 2025, which the federal defendants appealed to the 1st Circuit but subsequently voluntarily dismissed. In March 2025, the court granted the plaintiffs' motion for preliminary injunction. The federal defendants have appealed to the First Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),Washington v. Trump,2025-02-07,Civil Rights,Transgender Healthcare Executive Order,U.S. Agency for International Development; U.S. Department of the Treasury; U.S. Department of Transportation; Small Business Administration; President; U.S. Department of Justice; U.S. Department of Health and Human Services; U.S. Department of Agriculture; U.S. Department of Commerce; U.S. Department of Defense; U.S. Department of Education; U.S. Department of Energy; U.S. Department of Veterans Affairs; National Aeronautics and Space Administration; National Science Foundation; Office of the Director of National Intelligence,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,Likely EO/directive-related,25-01922,links: https://attorneysgeneral.org/wp-content/uploads/2025/02/2025.02.07-MULTISTATE-Washington-v.-Trump-W.D.-Wash.-Complaint.pdf,The district court granted a preliminary injunction to the states. The federal defendants have appealed to the Ninth Circuit.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),Massachusetts v. National Institutes of Health,2025-02-10,Health Care,Spending Cuts to Health Research,"National Institutes of Health (HHS), U.S. Department of Health and Human Services",adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,25-01343,(2025.03.05) Massachusetts v. National Institutes of Health [1st Cir.] - Order on Motion for Preliminary Injunction | links: https://attorneysgeneral.org/wp-content/uploads/2025/02/2025.02.10-MULTISTATE-Massachusetts-v.-National-Institutes-of-Health-D.-Mass.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2025/03/2025.03.05-Massachusetts-v.-National-Institutes-of-Health-1st-Cir.-Order-on-Motion-for-Preliminary-Injunction.pdf,"The court granted the plaintiff states a TRO, and then a preliminary injunction, blocking the policy nationwide. The federal defendants appealed to the First Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),New Mexico v. Musk,2025-02-13,Other,DOGE Activities,,state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Other,No obvious EO link in AG metadata,1:25-cv-00429,(2025.02.18) {MULTISTATE} New Mexico v. Musk [D.D.C.] - Opinion and Order Denying TRO | links: https://attorneysgeneral.org/wp-content/uploads/2025/02/2025.02.13-MULTISTATE-New-Mexico-v.-Musk-D.D.C.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2025/03/2025.02.18-MULTISTATE-New-Mexico-v.-Musk-D.D.C.-Opinion-and-Order-Denying-TRO.pdf,The court denied the plaintiffs' motion for temporary restraining order as the case continues.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),"California v, U.S. Department of Education",2025-03-06,Education,Teacher Quality Grant Cuts,U.S. Department of Education,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,25-01244,links: https://attorneysgeneral.org/wp-content/uploads/2025/03/2025.03.06-MULTISTATE-California-v-U.S.-Department-of-Education-1st-Cir.-Complaint.pdf,"The district court issued a TRO blocking the grant cuts. The federal defendants appealed to the First Circuit, but later voluntarily dismissed the appeal.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),Maryland v. U.S. Department of Agriculture,2025-03-06,Other,Federal Employee Terminations,U.S. Department of Agriculture; U.S. Department of Commerce; U.S. Department of Defense; U.S. Department of Education; U.S. Department of Energy; U.S. Department of Health and Human Services; U.S. Department of Homeland Security; U.S. Department of Housing and Urban Development; U.S. Department of the Interior; U.S. Department of Labor; U.S. Department of Transportation; U.S. Department of the Treasury; U.S. Department of Veterans Affairs; Consumer Financial Protection Bureau; U.S. Environmental Protection Agency; Federal Deposit Insurance Corporation; General Services Administration; Office of Personnel Management; National Archives and Records Administration; Small Business Administration; U.S. Agency for International Development,adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Awaiting Decision After Argument",Funding / grant or program cuts,No obvious EO link in AG metadata,25-01248 25-01338,links: https://attorneysgeneral.org/wp-content/uploads/2025/03/2025.03.06-MULTISTATE-Maryland-v.-U.S.-Department-of-Agriculture-D.-Md.-Complaint.pdf,"The district court issued a TRO and later a preliminary injunction blocking the terminations, both of which the federal defendants have appealed to the Fourth Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),New York v. McMahon,2025-03-13,Education,U.S. Department of Education Terminations,U.S. Department of Education; President,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,Possible presidential-directive/OMB-related,25-01495,links: https://attorneysgeneral.org/wp-content/uploads/2025/03/2025.03.13-MULTISTATE-New-York-v.-McMahon-D.-Mass.-D.-Mass.pdf,"The district court issued a preliminary injunction, which has been appealed to the First Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),Colorado v. HHS,2025-04-01,Health Care,Public Health Funding Cuts,U.S. Department of Health and Human Services,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,1:25-cv-00121,links: https://attorneysgeneral.org/wp-content/uploads/2025/05/2025.04.01-MULTISTATE-Colorado-v.-HHS-D.R.I.-Complaint.pdf,"The district court granted the plaintiff states' TRO and preliminary injunction, blocking the funding reductions in the plaintiff states.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),Rhode Island v. Trump,2025-04-04,Other,Agency and Program Terminations,President; Institute for Museum and Library Services; Minority Business Development Agency (Commerce); U.S. Department of Commerce; Federal Mediation and Conciliation Service; Office of Management and Budget (EoP),adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,Possible presidential-directive/OMB-related,25-1477,links: https://attorneysgeneral.org/wp-content/uploads/2025/05/2025.04.04-MULTISTATE-Rhode-Island-v.-Trump-D.R.I.-Complaint.pdf,"The district court issued a preliminary injunction blocking the federal government's actions, which the federal defendants have appealed to the First Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Donald Trump (Second Term),New York v. U.S. Department of Education,2025-04-10,Education,Education Funding Cuts,U.S. Department of Education,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,1:25-cv-02990,links: https://attorneysgeneral.org/wp-content/uploads/2025/05/2025.04.10-MULTISTATE-New-York-v.-U.S.-Department-of-Education-S.D.N.Y.-Complaint.pdf,The court issued a preliminary injunction in May 2025.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
George H.W. Bush,National Law Center v. HHS,1989-12-13,,,U.S. Department of Health and Human Services,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,1:89-cv-03331,,The district court granted summary judgment to HHS and dismissed the complaint.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
George H.W. Bush,New Mexico v. Watkins,1991-10-09,Environment,Nuclear Waste Cleanup,U.S. Department of Energy,adverse_tro_or_injunction,,,,Funding / grant or program cuts,No obvious EO link in AG metadata,783 F. Supp. 628,,"The court granted a preliminary injunction to the State of New Mexico, the State of Texas, and the council, to prevent the DOE from proceeding with a test phase to introduce radioactive waste on a proposed underground facility.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
George W. Bush (Second Term),North Carolina v. EPA,2008-01-01,Environment,Clean Air Interstate Rule,U.S. Environmental Protection Agency,adverse_tro_or_injunction,,,,Funding / grant or program cuts,No obvious EO link in AG metadata,531 F.3d 896,,"The petition was granted with respect to the EPA's Pollution-Trading Program and the ""interfere with maintenance"" language. But, the petition was denied with respect to the challenge to the EPA's definition of ""will"" in ""will contribute significantly."" The CAIR was vacated and remanded to the EPA.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Arizona v. U.S. Department of Homeland Security,2021-03-08,Immigration,Executive Order on Deportations,U.S. Department of Homeland Security,state_loss,No Injunction Issued (Denied),"Failure, Procedural Dismissal","Case Closed, Dismissed as Moot",Immigration / presidential directive,Likely EO/directive-related,21-16118,(2022.01.22) Arizona v. U.S. Department of Homeland Security - Order Dismissing Case [9th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2021/03/2021.03.08-Arizona-v.-U.S.-Department-of-Homeland-Security-Complaint-D.Ariz_..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/01/2022.01.22-Arizona-v.-U.S.-Department-of-Homeland-Security-Order-Dismissing-Case-9th-Cir..pdf,"The district court denied the plaintiff states' motion for preliminary injunction and dismissed the case. The states appealed to the Ninth Circuit, but the court dismissed the appeal on mootness grounds following the federal government's replacement of the interim policies challenged in this case. The Ninth Circuit granted rehearing in April 2023 in order to vacate the district court orders denying the plaintiffs' motion for preliminary injunction. The district court then dismissed the case after the plaintiffs did not filed a Second Amended Complaint.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Missouri v. Biden,2021-03-08,Environment,Executive Order on Social Costs of Greenhouse Gases,President; Office of Management and Budget (EoP); U.S. Environmental Protection Agency; U.S. Department of Energy; Federal Energy Regulatory Commission (DoE); U.S. Department of Transportation; Agriculture; Bureau of Land Management (Interior); U.S. Department of the Interior,adverse_tro_or_injunction; state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Original Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,Likely EO/directive-related,21-03013,(2022.10.21) Missouri v. Biden - Opinion (8th Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2021/03/2021.03.08-Missouri-v.-Biden-Complaint-E.D.Mo_..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/10/2022.10.21-Missouri-v.-Biden-Opinion-8th-Cir..pdf,"The district court granted the federal government's motion to dismiss and denied the states' motion for preliminary injunction. The states filed an appeal to the 8th Circuit on 9/1/21, which affirmed the district court's finding that the states lacked standing to sue. The states filed for an en banc rehearing, but the court denied this petition. In June 2023, the states filed a cert petition to the U.S. Supreme Court.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Alabama v. U.S. Department of Commerce,2021-03-10,Voting and Elections,2020 Census Data,"U.S. Department of Commerce, U.S. Census Bureau (Commerce)",state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,3:21-cv-00211,(2021.06.29) Alabama v. U.S. Department of Commerce - Memorandum Opinion and Order (M.D. Ala.) | links: https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.03.10-Alabama-v.-U.S.-Department-of-Commerce-Complaint-M.D.-Ala..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.06.29-Alabama-v.-U.S.-Department-of-Commerce-Memorandum-Opinion-and-Order-M.D.-Ala..pdf,The three-judge district court panel assigned to this case denied a preliminary injunction and dismissed several counts of the original complaint. The remaining issues were resolved when the Census Bureau provided the requested data to the states.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,American Municipal Power v. FERC,2021-03-16,Energy,FERC Challenge,Federal Energy Regulatory Commission (DoE),state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,21-01090,links: https://attorneysgeneral.org/wp-content/uploads/2021/05/2021.03.16-American-Municipal-Power-v.-FERC-Petition-D.C.-Cir..pdf,The court denied the petitions for review in November 2023.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Ohio v. Yellen,2021-03-17,Other,Rescue Plan Act Tax Policy,U.S. Department of the Treasury,adverse_tro_or_injunction,Local Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,Â 21-03787,(2021.05.12) Ohio v. Yellen - Opinion and Order (S.D.Ohio) (2021.07.01) Ohio v. Yellen - Opinion and Order Granting Permanent Injunction (S.D.Ohio) (2022.11.18) Ohio v. Yellen - Opinion (6th Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.03.17-Ohio-v.-Yellen-Complaint-S.D.Ohio_.pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.05.12-Ohio-v.-Yellen-Opinion-and-Order-S.D.Ohio_.pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.07.01-Ohio-v.-Yellen-Opinion-and-Order-Granting-Permanent-Injunction-S.D.Ohio_.pdf; https://attorneysgeneral.org/wp-content/uploads/2022/11/2022.11.18-Ohio-v.-Yellen-Opinion-6th-Cir..pdf,"The district court granted a permanent injunction blocking the tax policy as applied to Ohio. The federal government appealed to the Sixth Circuit, which reversed the district court on standing grounds and vacated the injunction. The plaintiffs did not appeal, and the case was closed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. Biden,2021-03-17,Energy,Keystone XL Pipeline,President; U.S. Department of State; DoJ; U.S. Department of Homeland Security; U.S. Department of the Interior; U.S. Department of Energy; U.S. Environmental Protection Agency; U.S. Department of Transportation,state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,Possible presidential-directive/OMB-related,3:21-cv-00065,links: https://attorneysgeneral.org/wp-content/uploads/2021/03/2021.03.17-Texas-v.-Biden-Complaint-S.D.-Tex..pdf,The district court granted the federal government's motion to dismiss on mootness grounds.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
