Issue ID,Area ID,Title,Development Status,Audit Runs,Proposal Quality Score,Audit Status,Last Audit Type,Last Audit Date,Score Basis,Next Audit Need,Audit Rubric Version,Rebaseline Status,Rebaseline Notes,Adoption Friction Score,Adoption Friction Band,Adoption Friction Notes,Required Electoral Environment,Pathway Viability,Development Priority,Pathway Adjustment,Enactment Pathway Notes
EMERG-004,A-10,Border or immigration emergency declarations,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMERG-005,A-10,Weak congressional termination procedures,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMERG-006,A-10,Indefinite renewal of emergencies,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMERG-007,A-10,Insufficiently specific factual findings,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
EMERG-008,A-10,Delayed or deferential judicial review,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-001,A-11,Unlawful impoundment,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-002,A-11,Pocket rescissions and strategic delay,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-003,A-11,Agency closure or program nullification through nonspending,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-004,A-11,Politically selective withholding of grants or aid,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-005,A-11,Reprogramming beyond congressional intent,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-006,A-11,Weak standing and remedies,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-007,A-11,Insufficient personal accountability,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
FUND-008,A-11,Inadequate real-time reporting to Congress and GAO,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-001,A-12,Excessive reliance on acting officials,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-002,A-12,Evasion of the Federal Vacancies Reform Act,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-003,A-12,Delegation around expired acting service,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-004,A-12,Installation of insufficiently vetted loyalists,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-005,A-12,Removal and replacement of confirmed officers,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-006,A-12,Manipulation of office titles and duties,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-007,A-12,Weak consequences for unlawful service,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
APPT-008,A-12,Inadequate transparency concerning succession and authority,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-001,A-13,Removal or concealment of presidential records,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-002,A-13,Destruction or deletion of records,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-003,A-13,Use of private messaging or unofficial systems,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-004,A-13,Weak National Archives enforcement authority,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-005,A-13,Delayed litigation and recovery,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-006,A-13,"Preservation of websites, datasets, and digital records",Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-007,A-13,Ambiguous separation of personal and presidential records,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
REC-008,A-13,Insufficient transition-period custody controls,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-001,A-14,Overbroad Insurrection Act authority,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-002,A-14,Ambiguity in Posse Comitatus limitations,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-003,A-14,Federalization of the National Guard over state objection,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-004,A-14,Deployment around protests or elections,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-005,A-14,Unidentified or inadequately accountable federal forces,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-006,A-14,Federal-property authority used as a pretext for broader operations,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-007,A-14,Domestic military intelligence activity,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-008,A-14,Insufficient expedited judicial review,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOM-009,A-14,Federal Law-Enforcement Surveillance Procurement and Deployment,Candidate,1,0,Pending development; no proposal-quality score assigned,Horizon integration decision,2026-06-25,HOR-002 was admitted as a distinct A-14 candidate because federal law-enforcement surveillance procurement and deployment is not fully owned by CIV-009 DOM-007 REC-006 FACT-002 or PRESS-003.,"Source-develop underlying report, DHS procurement records, privacy impact assessments, system-of-records notices, and existing surveillance oversight proposals before drafting.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-001,A-15,Weak enforcement of congressional subpoenas,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-002,A-15,Overbroad executive-privilege claims,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-003,A-15,Claims of testimonial immunity,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-004,A-15,Delay through litigation,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-005,A-15,Contempt referrals dependent on DOJ,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-006,A-15,Lack of expedited judicial review,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-007,A-15,Weak committee investigative capacity,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
CONG-008,A-15,Partisan collapse of oversight under unified government,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
IMM-001,A-16,Criminal Immunity for Presidential Official Acts,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
IMM-002,A-16,Civil immunity and remedial gaps,Candidate,1,0,Pending development; no proposal-quality score assigned,Initial framework and inventory audit,2026-06-24,Issue is identified in inventory but has not yet been developed into a basic proposal framework; no proposal-quality score is assigned until development begins.,"Apply issue-admission test and decide whether to develop, merge, or retain as research inventory.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
